Año,Grupo Compañía,Pasillo,Fabricante,Pasajeros
2007,"VUELING AIRLINES, S.A.",Pasillo único,Otros,9846
2008,AIR EUROPA,Doble pasillo,Airbus,844971
2008,AIR EUROPA,Doble pasillo,Boeing,373750
2008,AIR EUROPA,Pasillo único,Airbus,39808
2008,AIR EUROPA,Pasillo único,Boeing,14387774
2008,AIR EUROPA,Pasillo único,Otros,6103
2008,AIR FRANCE-KLM GROUP,Doble pasillo,Airbus,0
2008,AIR FRANCE-KLM GROUP,Doble pasillo,Boeing,1603
2008,AIR FRANCE-KLM GROUP,Pasillo único,Airbus,1369180
2008,AIR FRANCE-KLM GROUP,Pasillo único,Boeing,3376863
2008,AIR FRANCE-KLM GROUP,Pasillo único,Otros,544749
2008,AIRBERLIN GROUP,Doble pasillo,Airbus,211712
2008,AIRBERLIN GROUP,Doble pasillo,Boeing,12302
2008,AIRBERLIN GROUP,Pasillo único,Airbus,4773018
2008,AIRBERLIN GROUP,Pasillo único,Boeing,6894037
2008,AIRBERLIN GROUP,Pasillo único,Otros,271454
2008,BINTER CANARIAS,Pasillo único,Airbus,1929
2008,BINTER CANARIAS,Pasillo único,Boeing,660455
2008,BINTER CANARIAS,Pasillo único,Otros,5036108
2008,EASYJET,Pasillo único,Airbus,10218642
2008,EASYJET,Pasillo único,Boeing,1700374
2008,EASYJET,Pasillo único,Otros,9198
2008,GRUPO IBERIA,Doble pasillo,Airbus,4613479
2008,GRUPO IBERIA,Doble pasillo,Boeing,970
2008,GRUPO IBERIA,Pasillo único,Airbus,26840296
2008,GRUPO IBERIA,Pasillo único,Boeing,184668
2008,GRUPO IBERIA,Pasillo único,Otros,11603246
2008,LUFTHANSA GROUP,Doble pasillo,Airbus,129948
2008,LUFTHANSA GROUP,Doble pasillo,Boeing,747
2008,LUFTHANSA GROUP,Pasillo único,Airbus,3348057
2008,LUFTHANSA GROUP,Pasillo único,Boeing,575161
2008,LUFTHANSA GROUP,Pasillo único,Otros,610643
2008,RYANAIR GROUP,Doble pasillo,Airbus,306
2008,RYANAIR GROUP,Pasillo único,Airbus,648
2008,RYANAIR GROUP,Pasillo único,Boeing,14859362
2008,RYANAIR GROUP,Pasillo único,Otros,10773
2008,TUI GROUP,Doble pasillo,Airbus,1279
2008,TUI GROUP,Doble pasillo,Boeing,340679
2008,TUI GROUP,Pasillo único,Airbus,70977
2008,TUI GROUP,Pasillo único,Boeing,5166862
2008,TUI GROUP,Pasillo único,Otros,26227
2008,"VUELING AIRLINES, S.A.",Pasillo único,Airbus,7739722
2008,"VUELING AIRLINES, S.A.",Pasillo único,Boeing,2138
2008,"VUELING AIRLINES, S.A.",Pasillo único,Otros,5971
2009,AIR EUROPA,Doble pasillo,Airbus,954590
2009,AIR EUROPA,Doble pasillo,Boeing,238740
2009,AIR EUROPA,Pasillo único,Airbus,1342
2009,AIR EUROPA,Pasillo único,Boeing,12739563
2009,AIR EUROPA,Pasillo único,Otros,857162
2009,AIR FRANCE-KLM GROUP,Doble pasillo,Airbus,3136
2009,AIR FRANCE-KLM GROUP,Doble pasillo,Boeing,5576
2009,AIR FRANCE-KLM GROUP,Pasillo único,Airbus,1253771
2009,AIR FRANCE-KLM GROUP,Pasillo único,Boeing,3311667
2009,AIR FRANCE-KLM GROUP,Pasillo único,Otros,498512
2009,AIRBERLIN GROUP,Doble pasillo,Airbus,827077
2009,AIRBERLIN GROUP,Doble pasillo,Boeing,39663
